Code_INSEE;Code_Postal;Commune;Departement;Region;Latitude;Longitude
66036;66360;CANAVEILLES;PYRENEES-ORIENTALES;LANGUEDOC-ROUSSILLON;42.53442069678601;2.223842229202075
41255;41800;TERNAY;LOIR-ET-CHER;CENTRE;47.73458367010502;0.771871183813118
54264;54330;HOUDELMONT;MEURTHE-ET-MOSELLE;LORRAINE;48.53666372193691;6.093336636218592
21689;21140;VILLARS-ET-VILLENOTTE;COTE-D'OR;BOURGOGNE;47.508954536225964;4.378648192590286
25141;25530;CHAUX-LES-PASSAVANT;DOUBS;FRANCHE-COMTE;47.23589774998229;6.350072286657503
57087;57220;BISTEN-EN-LORRAINE;MOSELLE;LORRAINE;49.16436462322955;6.599583374571588
47304;47200;TAILLEBOURG;LOT-ET-GARONNE;AQUITAINE;44.44669463580881;0.203133379027675
10354;10700;SAINT-NABORD-SUR-AUBE;AUBE;CHAMPAGNE-ARDENNE;48.51289189593684;4.201660236787063
74235;74910;SAINT-GERMAIN-SUR-RHONE;HAUTE-SAVOIE;RHONE-ALPES;46.070029776798044;5.825923264366077
21162;21700;CHAUX;COTE-D'OR;BOURGOGNE;47.12728313007461;4.907187624171535
74043;74890;BONS-EN-CHABLAIS;HAUTE-SAVOIE;RHONE-ALPES;46.26318162830038;6.360897761281312
84127;84830;SERIGNAN-DU-COMTAT;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;44.19390122074586;4.847857272073007
60364;60130;LIEUVILLERS;OISE;PICARDIE;49.47428267174807;2.489806390310776
39233;39100;FOUCHERANS;JURA;FRANCHE-COMTE;47.0856433660639;5.444301005108928
63058;63350;BULHON;PUY-DE-DOME;AUVERGNE;45.88480123133661;3.391334543839889
80060;80370;BEALCOURT;SOMME;PICARDIE;50.19658931832015;2.182486942851461
67163;67270;GOUGENHEIM;BAS-RHIN;ALSACE;48.704527352010565;7.575350252752379
2331;2140;FRANQUEVILLE;AISNE;PICARDIE;49.81641255880129;3.797702617376061
32033;32320;BAZIAN;GERS;MIDI-PYRENEES;43.66858260255741;0.317017713445958
41013;41250;BAUZY;LOIR-ET-CHER;CENTRE;47.52903299963247;1.6114220550277372
60430;60127;MORIENVAL;OISE;PICARDIE;49.31047096615119;2.930039688724491
59162;59380;CROCHTE;NORD;NORD-PAS-DE-CALAIS;50.923875895926585;2.395950266672749
60064;60350;BERNEUIL-SUR-AISNE;OISE;PICARDIE;49.42180757384722;3.000100786763743
8401;8130;SAULCES-CHAMPENOISES;ARDENNES;CHAMPAGNE-ARDENNE;49.4466612892132;4.504170739872711
2B343;20215;VENZOLASCA;HAUTE-CORSE;CORSE;42.50140548248435;9.493337011931098
